DAYOFWEEK,MONTH,LOCATION,LATITUDE,LONGITUDE,CRIMECAT
2,2,NAS ST. POLY,8.507164,8.520902,12
2,2,SANDAJI STREET,8.3031,8.322,11
2,2,STUDENT VILLAGE,8.503164,8.500314,11
5,6,LAVISTA,8.544621,8.533711,5
3,12,STUDENT VILLAGE,8.503164,8.500314,11
2,2,WORKERS VILLAGE,8.485263,8.504512,13
2,2,POST OFFICE,8.496123,8.516234,13
0,2,OLD TOMATO MARKET,8.2935,8.3112,13
2,2,STUDENT VILLAGE,8.503164,8.500314,1
2,8,POST OFFICE,8.496123,8.516234,11
2,2,POST OFFICE,8.496123,8.516234,11
2,7,MODERN MARKET,8.491388,8.528523,2
6,8,LAVISTA,8.544621,8.533711,7
2,2,POST OFFICE,8.496123,8.516234,11
6,9,NAS ST. POLY,8.507164,8.520902,2
2,2,NAS ST. POLY,8.507164,8.520902,1
6,10,NAS ST. POLY,8.507164,8.520902,2
4,9,POST OFFICE,8.496123,8.516234,13
5,1,STUDENT VILLAGE,8.503164,8.500314,7
4,11,POST OFFICE,8.496123,8.516234,11
0,4,NAS ST. POLY,8.507164,8.520902,3
6,4,POST OFFICE,8.496123,8.516234,7
6,9,NAS ST. POLY,8.507164,8.520902,7
2,2,POST OFFICE,8.496123,8.516234,7
2,2,NAS ST. POLY,8.507164,8.520902,7
2,2,LAFIA EAST,8.490988,8.527665,5
5,8,NAS ST. POLY,8.507164,8.520902,13
2,2,NAS ST. POLY,8.507164,8.520902,5
2,2,NAS ST. POLY,8.507164,8.520902,11
2,2,NAS ST. POLY,8.507164,8.520902,7
2,2,STUDENT VILLAGE,8.503164,8.500314,11
6,7,NAS ST. POLY,8.507164,8.520902,2
2,2,STUDENT VILLAGE,8.503164,8.500314,11
2,2,STUDENT VILLAGE,8.503164,8.500314,11
2,2,POST OFFICE,8.496123,8.516234,5
2,6,NAS ST. POLY,8.507164,8.520902,13
2,2,POST OFFICE,8.496123,8.516234,5
4,8,NAS ST. POLY,8.507164,8.520902,11
2,2,POST OFFICE,8.496123,8.516234,11
2,2,POST OFFICE,8.496123,8.516234,11
5,9,POST OFFICE,8.496123,8.516234,5
5,7,NAS ST. POLY,8.507164,8.520902,11
5,2,NAS ST. POLY,8.507164,8.520902,11
1,7,PROJECT QUARTERS,8.44235,8.43324,12
6,11,MODERN MARKET,8.491388,8.528523,2
2,2,STUDENT VILLAGE,8.503164,8.500314,2
2,2,STUDENT VILLAGE,8.503164,8.500314,7
2,2,STUDENT VILLAGE,8.503164,8.500314,13
6,2,NAS ST. POLY,8.507164,8.520902,2
2,2,DUNAMA,8.523524,8.522714,5
3,6,NAS ST. POLY,8.507164,8.520902,5
4,8,NAS ST. POLY,8.507164,8.520902,11
5,1,WORKERS VILLAGE,8.485263,8.504512,5
2,2,NAS ST. POLY,8.507164,8.520902,3
2,2,DUNAMA,8.523524,8.522714,5
4,5,STUDENT VILLAGE,8.503164,8.500314,13
6,5,POST OFFICE,8.496123,8.516234,11
1,12,NAS ST. POLY,8.507164,8.520902,12
6,6,POST OFFICE,8.496123,8.516234,5
2,2,POST OFFICE,8.496123,8.516234,5
6,4,POST OFFICE,8.496123,8.516234,11
0,10,NAS ST. POLY,8.507164,8.520902,1
0,1,NAS ST. POLY,8.507164,8.520902,11
2,2,STUDENT VILLAGE,8.503164,8.500314,11
2,2,POST OFFICE,8.496123,8.516234,3
2,11,POST OFFICE,8.496123,8.516234,5
2,2,POST OFFICE,8.496123,8.516234,5
4,2,WORKERS VILLAGE,8.485263,8.504512,5
5,5,LAFIA EAST,8.490988,8.527665,11
2,2,POST OFFICE,8.496123,8.516234,13
6,4,POST OFFICE,8.496123,8.516234,7
0,9,NAS ST. POLY,8.507164,8.520902,13
0,2,PROJECT QUARTERS,8.44235,8.43324,9
4,10,POST OFFICE,8.496123,8.516234,9
2,2,STUDENT VILLAGE,8.503164,8.500314,1
2,2,NAS ST. POLY,8.507164,8.520902,5
5,6,STUDENT VILLAGE,8.503164,8.500314,5
2,2,STUDENT VILLAGE,8.503164,8.500314,7
2,2,LAVISTA,8.544621,8.533711,11
2,1,NAS ST. POLY,8.507164,8.520902,2
0,12,LAVISTA,8.544621,8.533711,2
2,2,NAS ST. POLY,8.507164,8.520902,2
2,1,POST OFFICE,8.496123,8.516234,13
0,10,STUDENT VILLAGE,8.503164,8.500314,11
2,2,LAVISTA,8.544621,8.533711,5
2,2,MODERN MARKET,8.491388,8.528523,2
0,9,TUNDUN GWANDARA,8.3033,8.3313,5
5,11,NAS ST. POLY,8.507164,8.520902,7
2,2,NAS ST. POLY,8.507164,8.520902,1
2,2,WORKERS VILLAGE,8.485263,8.504512,11
2,2,PROJECT QUARTERS,8.44235,8.43324,12
4,1,LAVISTA,8.544621,8.533711,5
0,1,NAS ST. POLY,8.507164,8.520902,1
0,12,NAS ST. POLY,8.507164,8.520902,2
6,2,STUDENT VILLAGE,8.503164,8.500314,5
2,2,LAVISTA,8.544621,8.533711,5
2,2,NAS ST. POLY,8.507164,8.520902,12
0,2,POST OFFICE,8.496123,8.516234,11
2,2,NAS ST. POLY,8.507164,8.520902,11
2,2,POST OFFICE,8.496123,8.516234,11
0,10,POST OFFICE,8.496123,8.516234,7
2,2,STUDENT VILLAGE,8.503164,8.500314,11
6,10,POST OFFICE,8.496123,8.516234,5
3,9,STUDENT VILLAGE,8.503164,8.500314,7
2,2,POST OFFICE,8.496123,8.516234,9
2,2,NAS ST. POLY,8.507164,8.520902,12
6,11,POST OFFICE,8.496123,8.516234,5
0,12,POST OFFICE,8.496123,8.516234,11
4,9,NAS ST. POLY,8.507164,8.520902,11
0,8,LAVISTA,8.544621,8.533711,2
2,2,POST OFFICE,8.496123,8.516234,3
0,12,NAS ST. POLY,8.507164,8.520902,5
2,2,LAFIA EAST,8.490988,8.527665,5
5,2,POST OFFICE,8.496123,8.516234,13
2,2,NAS ST. POLY,8.507164,8.520902,2
6,9,LAVISTA,8.544621,8.533711,2
2,2,NAS ST. POLY,8.507164,8.520902,11
2,7,POST OFFICE,8.496123,8.516234,5
2,2,LAFIA EAST,8.490988,8.527665,5
2,2,STUDENT VILLAGE,8.503164,8.500314,11
5,11,STUDENT VILLAGE,8.503164,8.500314,2
2,2,POST OFFICE,8.496123,8.516234,13
2,2,NAS ST. POLY,8.507164,8.520902,11
6,5,POST OFFICE,8.496123,8.516234,11
2,2,LAFIA EAST,8.490988,8.527665,11
2,2,STUDENT VILLAGE,8.503164,8.500314,2
1,2,NAS ST. POLY,8.507164,8.520902,11
2,2,LAVISTA,8.544621,8.533711,5
2,2,POST OFFICE,8.496123,8.516234,11
4,5,DUNAMA,8.523524,8.522714,5
2,2,NAS ST. POLY,8.507164,8.520902,9
4,1,STUDENT VILLAGE,8.503164,8.500314,5
1,1,PROJECT QUARTERS,8.44235,8.43324,3
2,2,STUDENT VILLAGE,8.503164,8.500314,11
2,2,LAVISTA,8.544621,8.533711,13
3,6,NAS ST. POLY,8.507164,8.520902,13
2,2,POST OFFICE,8.496123,8.516234,5
2,2,STUDENT VILLAGE,8.503164,8.500314,11
2,2,POST OFFICE,8.496123,8.516234,12
6,2,STUDENT VILLAGE,8.503164,8.500314,7
2,2,STUDENT VILLAGE,8.503164,8.500314,7
5,11,NAS ST. POLY,8.507164,8.520902,1
2,2,POST OFFICE,8.496123,8.516234,11
6,2,NAS ST. POLY,8.507164,8.520902,7
2,2,POST OFFICE,8.496123,8.516234,3
0,11,LAVISTA,8.544621,8.533711,5
6,2,LAVISTA,8.544621,8.533711,13
2,2,MODERN MARKET,8.491388,8.528523,5
2,2,LAVISTA,8.544621,8.533711,7
4,7,NAS ST. POLY,8.507164,8.520902,13
2,2,LAVISTA,8.544621,8.533711,5
0,1,NAS ST. POLY,8.507164,8.520902,1
2,2,LAFIA EAST,8.490988,8.527665,11
3,1,STUDENT VILLAGE,8.503164,8.500314,11
0,10,WORKERS VILLAGE,8.485263,8.504512,11
1,2,STUDENT VILLAGE,8.503164,8.500314,11
6,12,TUNDUN AMBA,8.2856,8.3018,5
4,5,LAFIA EAST,8.490988,8.527665,9
2,8,NAS ST. POLY,8.507164,8.520902,12
2,2,POST OFFICE,8.496123,8.516234,11
2,2,MODERN MARKET,8.491388,8.528523,9
6,7,LAVISTA,8.544621,8.533711,5
5,11,NAS ST. POLY,8.507164,8.520902,7
2,2,NAS ST. POLY,8.507164,8.520902,12
2,2,WORKERS VILLAGE,8.485263,8.504512,7
2,2,POST OFFICE,8.496123,8.516234,5
2,2,POST OFFICE,8.496123,8.516234,5
1,7,LAVISTA,8.544621,8.533711,7
3,2,LAVISTA,8.544621,8.533711,2
4,12,NAS ST. POLY,8.507164,8.520902,5
3,2,TUNDUN AMBA,8.2856,8.3018,5
3,2,NAS ST. POLY,8.507164,8.520902,11
3,2,LAFIA EAST,8.490988,8.527665,7
3,2,POST OFFICE,8.496123,8.516234,7
4,9,NAS ST. POLY,8.507164,8.520902,5
3,2,NAS ST. POLY,8.507164,8.520902,7
3,2,STUDENT VILLAGE,8.503164,8.500314,11
6,7,LAVISTA,8.544621,8.533711,5
5,6,LAFIA EMIRS PALACE,8.49059,8.512862,5
3,2,GOVERNMENT HOUSE,8.509731,8.542025,2
6,12,STUDENT VILLAGE,8.503164,8.500314,1
0,12,POST OFFICE,8.496123,8.516234,2
3,2,TUNDUN AMBA,8.2856,8.3018,7
0,7,NAS ST. POLY,8.507164,8.520902,2
3,2,LAFIA EAST,8.490988,8.527665,11
2,2,NAS ST. POLY,8.507164,8.520902,11
6,12,WORKERS VILLAGE,8.485263,8.504512,5
3,2,NAS ST. POLY,8.507164,8.520902,11
3,2,NAS ST. POLY,8.507164,8.520902,2
3,2,LAFIA EAST,8.490988,8.527665,12
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,POST OFFICE,8.496123,8.516234,3
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,STUDENT VILLAGE,8.503164,8.500314,2
3,2,NAS ST. POLY,8.507164,8.520902,1
4,8,WORKERS VILLAGE,8.485263,8.504512,1
3,2,POST OFFICE,8.496123,8.516234,7
6,12,STUDENT VILLAGE,8.503164,8.500314,11
3,2,NAS ST. POLY,8.507164,8.520902,11
3,2,POST OFFICE,8.496123,8.516234,11
3,2,POST OFFICE,8.496123,8.516234,3
6,2,POST OFFICE,8.496123,8.516234,5
5,1,LAVISTA,8.544621,8.533711,5
5,2,NAS ST. POLY,8.507164,8.520902,5
1,6,PROJECT QUARTERS,8.44235,8.43324,11
3,5,GOVERNMENT HOUSE,8.509731,8.542025,3
3,2,LAFIA EAST,8.490988,8.527665,5
3,2,STUDENT VILLAGE,8.503164,8.500314,11
6,11,NAS ST. POLY,8.507164,8.520902,7
2,1,TUNDUN AMBA,8.2856,8.3018,5
3,2,POST OFFICE,8.496123,8.516234,11
1,2,MILLIONAIRES QUARTERS,8.516451,8.520237,2
4,1,NAS ST. POLY,8.507164,8.520902,11
1,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,POST OFFICE,8.496123,8.516234,3
0,10,MODERN MARKET,8.491388,8.528523,5
3,2,LAFIA EAST,8.490988,8.527665,5
3,2,POST OFFICE,8.496123,8.516234,3
5,10,NAS ST. POLY,8.507164,8.520902,7
3,2,POST OFFICE,8.496123,8.516234,5
3,2,DUNAMA,8.523524,8.522714,11
3,2,PROJECT QUARTERS,8.44235,8.43324,3
0,12,LAFIA EAST,8.490988,8.527665,5
3,2,POST OFFICE,8.496123,8.516234,11
4,12,POST OFFICE,8.496123,8.516234,7
1,9,NAS ST. POLY,8.507164,8.520902,11
3,2,WORKERS VILLAGE,8.485263,8.504512,11
0,2,STUDENT VILLAGE,8.503164,8.500314,7
6,2,LAVISTA,8.544621,8.533711,7
2,5,POST OFFICE,8.496123,8.516234,13
3,2,LAVISTA,8.544621,8.533711,5
6,2,NAS ST. POLY,8.507164,8.520902,2
6,5,PROJECT QUARTERS,8.44235,8.43324,12
2,10,POST OFFICE,8.496123,8.516234,5
3,2,POST OFFICE,8.496123,8.516234,3
1,7,POST OFFICE,8.496123,8.516234,11
3,2,NAS ST. POLY,8.507164,8.520902,2
0,6,LAFIA EAST,8.490988,8.527665,3
3,2,POST OFFICE,8.496123,8.516234,5
6,12,NAS ST. POLY,8.507164,8.520902,7
5,11,WORKERS VILLAGE,8.485263,8.504512,5
3,2,LAVISTA,8.544621,8.533711,13
0,1,LAFIA EAST,8.490988,8.527665,11
3,2,LAVISTA,8.544621,8.533711,1
3,2,LAFIA EAST,8.490988,8.527665,5
4,11,NAS ST. POLY,8.507164,8.520902,2
3,2,LAVISTA,8.544621,8.533711,5
1,1,PROJECT QUARTERS,8.44235,8.43324,9
3,2,POST OFFICE,8.496123,8.516234,11
3,2,NAS ST. POLY,8.507164,8.520902,13
5,2,NAS ST. POLY,8.507164,8.520902,1
1,1,STUDENT VILLAGE,8.503164,8.500314,11
3,2,POST OFFICE,8.496123,8.516234,11
0,4,LAVISTA,8.544621,8.533711,5
1,2,NAS ST. POLY,8.507164,8.520902,11
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,TUNDUN GWANDARA,8.3033,8.3313,2
0,1,LAVISTA,8.544621,8.533711,5
3,2,NAS ST. POLY,8.507164,8.520902,13
6,12,PROJECT QUARTERS,8.44235,8.43324,11
3,2,STUDENT VILLAGE,8.503164,8.500314,4
3,2,POST OFFICE,8.496123,8.516234,5
6,8,NAS ST. POLY,8.507164,8.520902,11
3,2,POST OFFICE,8.496123,8.516234,11
6,8,NAS ST. POLY,8.507164,8.520902,2
4,5,POST OFFICE,8.496123,8.516234,12
2,11,STUDENT VILLAGE,8.503164,8.500314,1
6,6,NAS ST. POLY,8.507164,8.520902,11
0,2,SANDAJI STREET,8.3031,8.322,11
3,2,STUDENT VILLAGE,8.503164,8.500314,11
0,2,MILLIONAIRES QUARTERS,8.516451,8.520237,11
3,2,LAVISTA,8.544621,8.533711,11
3,2,NAS ST. POLY,8.507164,8.520902,13
1,6,STUDENT VILLAGE,8.503164,8.500314,11
3,2,POST OFFICE,8.496123,8.516234,11
2,10,POST OFFICE,8.496123,8.516234,11
0,7,STUDENT VILLAGE,8.503164,8.500314,11
3,2,NAS ST. POLY,8.507164,8.520902,3
6,9,STUDENT VILLAGE,8.503164,8.500314,11
5,6,NAS ST. POLY,8.507164,8.520902,1
3,2,WORKERS VILLAGE,8.485263,8.504512,5
2,1,NAS ST. POLY,8.507164,8.520902,2
0,8,PROJECT QUARTERS,8.44235,8.43324,9
3,2,LAVISTA,8.544621,8.533711,7
3,2,LAVISTA,8.544621,8.533711,5
6,4,LAVISTA,8.544621,8.533711,2
3,2,STUDENT VILLAGE,8.503164,8.500314,12
3,2,SANDAJI STREET,8.3031,8.322,11
3,2,LAFIA EAST,8.490988,8.527665,11
2,7,LAVISTA,8.544621,8.533711,5
4,1,NAS ST. POLY,8.507164,8.520902,11
1,12,NAS ST. POLY,8.507164,8.520902,9
4,8,WORKERS VILLAGE,8.485263,8.504512,13
6,2,LAVISTA,8.544621,8.533711,2
3,2,LAFIA EAST,8.490988,8.527665,7
3,9,NAS ST. POLY,8.507164,8.520902,2
0,2,NAS ST. POLY,8.507164,8.520902,11
3,2,NAS ST. POLY,8.507164,8.520902,7
2,2,PROJECT QUARTERS,8.44235,8.43324,9
3,2,SANDAJI STREET,8.3031,8.322,7
6,4,LAFIA EAST,8.490988,8.527665,11
6,4,STUDENT VILLAGE,8.503164,8.500314,11
3,2,POST OFFICE,8.496123,8.516234,11
0,2,LAVISTA,8.544621,8.533711,5
0,8,NAS ST. POLY,8.507164,8.520902,11
3,2,STUDENT VILLAGE,8.503164,8.500314,112
3,2,POST OFFICE,8.496123,8.516234,3
3,2,POST OFFICE,8.496123,8.516234,5
6,2,STUDENT VILLAGE,8.503164,8.500314,11
6,2,POST OFFICE,8.496123,8.516234,12
3,2,MODERN MARKET,8.491388,8.528523,5
5,1,NAS ST. POLY,8.507164,8.520902,2
1,4,PROJECT QUARTERS,8.44235,8.43324,11
3,2,POST OFFICE,8.496123,8.516234,5
3,2,STUDENT VILLAGE,8.503164,8.500314,5
3,2,LAVISTA,8.544621,8.533711,2
3,2,PROJECT QUARTERS,8.44235,8.43324,5
3,10,STUDENT VILLAGE,8.503164,8.500314,11
6,1,STUDENT VILLAGE,8.503164,8.500314,11
6,2,STUDENT VILLAGE,8.503164,8.500314,7
5,8,NAS ST. POLY,8.507164,8.520902,7
3,6,NAS ST. POLY,8.507164,8.520902,2
6,12,LAVISTA,8.544621,8.533711,2
1,2,POST OFFICE,8.496123,8.516234,7
2,2,NAS ST. POLY,8.507164,8.520902,9
5,1,STUDENT VILLAGE,8.503164,8.500314,5
3,2,POST OFFICE,8.496123,8.516234,11
5,9,TUNDUN AMBA,8.2856,8.3018,2
1,7,LAFIA EAST,8.490988,8.527665,11
3,2,NAS ST. POLY,8.507164,8.520902,2
6,5,PROJECT QUARTERS,8.44235,8.43324,11
3,2,LAFIA EAST,8.490988,8.527665,5
3,2,POST OFFICE,8.496123,8.516234,11
3,2,GOVERNMENT HOUSE,8.509731,8.542025,11
6,1,NAS ST. POLY,8.507164,8.520902,7
2,1,NAS ST. POLY,8.507164,8.520902,11
3,2,NAS ST. POLY,8.507164,8.520902,11
6,1,STUDENT VILLAGE,8.503164,8.500314,7
1,11,WORKERS VILLAGE,8.485263,8.504512,1
2,6,NAS ST. POLY,8.507164,8.520902,12
5,11,NAS ST. POLY,8.507164,8.520902,3
3,2,LAFIA EAST,8.490988,8.527665,5
3,2,LAVISTA,8.544621,8.533711,9
3,2,NAS ST. POLY,8.507164,8.520902,2
3,2,POST OFFICE,8.496123,8.516234,5
0,2,STUDENT VILLAGE,8.503164,8.500314,2
5,11,NAS ST. POLY,8.507164,8.520902,1
3,1,NAS ST. POLY,8.507164,8.520902,2
3,2,LAVISTA,8.544621,8.533711,11
2,6,STUDENT VILLAGE,8.503164,8.500314,5
3,2,POST OFFICE,8.496123,8.516234,11
3,2,STUDENT VILLAGE,8.503164,8.500314,13
3,2,NAS ST. POLY,8.507164,8.520902,11
3,5,LAFIA EAST,8.490988,8.527665,2
5,2,STUDENT VILLAGE,8.503164,8.500314,1
3,2,POST OFFICE,8.496123,8.516234,7
2,7,STUDENT VILLAGE,8.503164,8.500314,11
3,2,STUDENT VILLAGE,8.503164,8.500314,2
2,2,LAFIA EAST,8.490988,8.527665,5
1,8,NAS ST. POLY,8.507164,8.520902,11
3,2,NAS ST. POLY,8.507164,8.520902,11
4,10,POST OFFICE,8.496123,8.516234,13
3,12,NAS ST. POLY,8.507164,8.520902,11
3,2,POST OFFICE,8.496123,8.516234,7
3,2,LAVISTA,8.544621,8.533711,2
3,2,LAFIA EAST,8.490988,8.527665,11
0,12,DUNAMA,8.523524,8.522714,12
3,2,SANDAJI STREET,8.3031,8.322,5
3,2,POST OFFICE,8.496123,8.516234,5
0,9,MODERN MARKET,8.491388,8.528523,11
6,1,NAS ST. POLY,8.507164,8.520902,3
6,9,PROJECT QUARTERS,8.44235,8.43324,5
4,1,LAFIA EAST,8.490988,8.527665,12
5,2,POST OFFICE,8.496123,8.516234,5
3,2,TUNDUN AMBA,8.2856,8.3018,8
3,2,NAS ST. POLY,8.507164,8.520902,11
1,2,NAS ST. POLY,8.507164,8.520902,1
3,2,LAVISTA,8.544621,8.533711,5
3,2,STUDENT VILLAGE,8.503164,8.500314,1
0,10,POST OFFICE,8.496123,8.516234,13
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,POST OFFICE,8.496123,8.516234,11
4,9,NAS ST. POLY,8.507164,8.520902,12
6,4,LAVISTA,8.544621,8.533711,2
3,2,POST OFFICE,8.496123,8.516234,9
3,2,STUDENT VILLAGE,8.503164,8.500314,12
3,1,POST OFFICE,8.496123,8.516234,11
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,NAS ST. POLY,8.507164,8.520902,1
6,9,NAS ST. POLY,8.507164,8.520902,2
0,10,TUNDUN GWANDARA,8.3033,8.3313,11
0,6,NAS ST. POLY,8.507164,8.520902,11
3,2,LAVISTA,8.544621,8.533711,2
0,11,LAVISTA,8.544621,8.533711,7
3,2,NAS ST. POLY,8.507164,8.520902,5
3,2,POST OFFICE,8.496123,8.516234,3
3,5,LAVISTA,8.544621,8.533711,5
3,2,POST OFFICE,8.496123,8.516234,12
3,2,POST OFFICE,8.496123,8.516234,3
3,2,NAS ST. POLY,8.507164,8.520902,11
3,2,MODERN MARKET,8.491388,8.528523,5
3,2,POST OFFICE,8.496123,8.516234,3
2,2,NAS ST. POLY,8.507164,8.520902,1
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,POST OFFICE,8.496123,8.516234,7
3,2,STUDENT VILLAGE,8.503164,8.500314,2
3,2,LAFIA EAST,8.490988,8.527665,11
1,2,STUDENT VILLAGE,8.503164,8.500314,12
6,2,NAS ST. POLY,8.507164,8.520902,5
3,2,STUDENT VILLAGE,8.503164,8.500314,12
3,2,POST OFFICE,8.496123,8.516234,13
3,2,PROJECT QUARTERS,8.44235,8.43324,3
3,2,LAVISTA,8.544621,8.533711,5
3,2,NAS ST. POLY,8.507164,8.520902,11
6,2,TUNDUN GWANDARA,8.3033,8.3313,2
2,2,TUNDUN AMBA,8.2856,8.3018,11
0,6,DUNAMA,8.523524,8.522714,5
6,7,POST OFFICE,8.496123,8.516234,5
3,2,LAFIA EAST,8.490988,8.527665,5
3,2,PROJECT QUARTERS,8.44235,8.43324,3
3,2,STUDENT VILLAGE,8.503164,8.500314,11
1,8,WORKERS VILLAGE,8.485263,8.504512,5
3,2,LAVISTA,8.544621,8.533711,2
6,9,POST OFFICE,8.496123,8.516234,13
3,2,SANDAJI STREET,8.3031,8.322,11
5,4,POST OFFICE,8.496123,8.516234,13
3,2,NAS ST. POLY,8.507164,8.520902,11
5,1,NAS ST. POLY,8.507164,8.520902,2
3,2,NAS ST. POLY,8.507164,8.520902,13
4,12,WORKERS VILLAGE,8.485263,8.504512,11
4,12,NAS ST. POLY,8.507164,8.520902,11
6,2,NAS ST. POLY,8.507164,8.520902,11
3,2,NAS ST. POLY,8.507164,8.520902,11
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,8,WORKERS VILLAGE,8.485263,8.504512,2
3,2,STUDENT VILLAGE,8.503164,8.500314,11
0,8,POST OFFICE,8.496123,8.516234,5
3,2,NAS ST. POLY,8.507164,8.520902,3
0,10,LAVISTA,8.544621,8.533711,2
2,1,STUDENT VILLAGE,8.503164,8.500314,2
1,2,NAS ST. POLY,8.507164,8.520902,7
3,2,LAFIA EAST,8.490988,8.527665,2
2,11,LAFIA EAST,8.490988,8.527665,9
3,6,MODERN MARKET,8.491388,8.528523,2
1,10,LAFIA EAST,8.490988,8.527665,5
0,2,LAFIA EAST,8.490988,8.527665,13
1,11,PROJECT QUARTERS,8.44235,8.43324,9
3,2,STUDENT VILLAGE,8.503164,8.500314,11
5,5,STUDENT VILLAGE,8.503164,8.500314,2
3,2,LAVISTA,8.544621,8.533711,7
5,7,NAS ST. POLY,8.507164,8.520902,2
5,6,NAS ST. POLY,8.507164,8.520902,13
3,2,STUDENT VILLAGE,8.503164,8.500314,12
3,2,STUDENT VILLAGE,8.503164,8.500314,12
2,2,MODERN MARKET,8.491388,8.528523,11
3,2,SANDAJI STREET,8.3031,8.322,3
4,5,MODERN MARKET,8.491388,8.528523,2
3,2,NAS ST. POLY,8.507164,8.520902,7
6,2,NAS ST. POLY,8.507164,8.520902,7
3,2,POST OFFICE,8.496123,8.516234,5
3,2,LAFIA EAST,8.490988,8.527665,12
3,2,PROJECT QUARTERS,8.44235,8.43324,3
3,2,NAS ST. POLY,8.507164,8.520902,13
3,2,POST OFFICE,8.496123,8.516234,3
3,2,POST OFFICE,8.496123,8.516234,5
3,4,PROJECT QUARTERS,8.44235,8.43324,3
3,2,MILLIONAIRES QUARTERS,8.516451,8.520237,5
0,2,TUNDUN AMBA,8.2856,8.3018,11
3,2,LAVISTA,8.544621,8.533711,11
3,2,NAS ST. POLY,8.507164,8.520902,2
3,2,TUNDUN AMBA,8.2856,8.3018,5
3,2,STUDENT VILLAGE,8.503164,8.500314,11
5,1,DUNAMA,8.523524,8.522714,7
4,12,SANDAJI STREET,8.3031,8.322,11
3,2,POST OFFICE,8.496123,8.516234,12
6,1,STUDENT VILLAGE,8.503164,8.500314,11
2,8,SANDAJI STREET,8.3031,8.322,11
2,2,LAVISTA,8.544621,8.533711,2
3,2,NAS ST. POLY,8.507164,8.520902,11
1,1,LAVISTA,8.544621,8.533711,7
0,10,POST OFFICE,8.496123,8.516234,5
4,11,PROJECT QUARTERS,8.44235,8.43324,5
3,2,NAS ST. POLY,8.507164,8.520902,11
3,2,MODERN MARKET,8.491388,8.528523,9
2,4,STUDENT VILLAGE,8.503164,8.500314,5
6,5,LAVISTA,8.544621,8.533711,2
3,2,LAVISTA,8.544621,8.533711,5
3,5,SANDAJI STREET,8.3031,8.322,11
2,10,STUDENT VILLAGE,8.503164,8.500314,2
3,2,POST OFFICE,8.496123,8.516234,5
3,2,DUNAMA,8.523524,8.522714,5
6,2,NAS ST. POLY,8.507164,8.520902,5
0,4,PROJECT QUARTERS,8.44235,8.43324,11
2,2,LAVISTA,8.544621,8.533711,2
3,2,STUDENT VILLAGE,8.503164,8.500314,11
3,2,STUDENT VILLAGE,8.503164,8.500314,13
3,2,NAS ST. POLY,8.507164,8.520902,5
3,2,SANDAJI STREET,8.3031,8.322,5
1,1,POST OFFICE,8.496123,8.516234,11
3,2,POST OFFICE,8.496123,8.516234,13
3,2,POST OFFICE,8.496123,8.516234,9
6,7,POST OFFICE,8.496123,8.516234,13
3,2,LAFIA EAST,8.490988,8.527665,11
3,1,MODERN MARKET,8.491388,8.528523,11
5,11,NAS ST. POLY,8.507164,8.520902,12
1,11,NAS ST. POLY,8.507164,8.520902,13
3,2,NAS ST. POLY,8.507164,8.520902,7
3,2,NAS ST. POLY,8.507164,8.520902,2
4,1,NAS ST. POLY,8.507164,8.520902,2
3,10,LAFIA EAST,8.490988,8.527665,11
1,8,STUDENT VILLAGE,8.503164,8.500314,11
3,2,TUNDUN AMBA,8.2856,8.3018,11
3,2,NAS ST. POLY,8.507164,8.520902,2
4,9,LAVISTA,8.544621,8.533711,7
6,11,STUDENT VILLAGE,8.503164,8.500314,11
1,2,LAVISTA,8.544621,8.533711,5
3,7,LAFIA EAST,8.490988,8.527665,5
5,6,NAS ST. POLY,8.507164,8.520902,11
3,2,NAS ST. POLY,8.507164,8.520902,11
3,9,LAFIA EAST,8.490988,8.527665,3
3,2,POST OFFICE,8.496123,8.516234,11
5,11,NAS ST. POLY,8.507164,8.520902,13
2,2,TUNDUN AMBA,8.2856,8.3018,5
6,11,LAVISTA,8.544621,8.533711,5
3,2,STUDENT VILLAGE,8.503164,8.500314,12
3,2,NAS ST. POLY,8.507164,8.520902,3
3,2,POST OFFICE,8.496123,8.516234,5
3,2,LAFIA EAST,8.490988,8.527665,5
0,2,LAFIA EAST,8.490988,8.527665,13
4,1,NAS ST. POLY,8.507164,8.520902,11
3,2,LAVISTA,8.544621,8.533711,2
3,2,NAS ST. POLY,8.507164,8.520902,5
5,2,STUDENT VILLAGE,8.503164,8.500314,1
3,2,NAS ST. POLY,8.507164,8.520902,7
0,9,STUDENT VILLAGE,8.503164,8.500314,11
3,2,STUDENT VILLAGE,8.503164,8.500314,7
3,2,POST OFFICE,8.496123,8.516234,13
2,7,LAVISTA,8.544621,8.533711,11
5,7,PROJECT QUARTERS,8.44235,8.43324,9
3,2,LAVISTA,8.544621,8.533711,2
2,2,POST OFFICE,8.496123,8.516234,9
1,1,NAS ST. POLY,8.507164,8.520902,3
0,5,POST OFFICE,8.496123,8.516234,12
